index,category,output_path,original_name,original_size,output_size,has_alpha,alpha_min,alpha_max,source_sha256
80,Decorations,Decorations/080_yellow_tape.png,input_080.png,1774x887,1069x308,True,0,255,6e108692e4ec7a7520cbc7b879a0f600c4222bcf72ef8082350a1b819362bcf1
81,Result_Ranking,Result_Ranking/081_victory_card_blank.png,input_081.png,1402x1122,1247x983,True,0,255,d215b733e969f573de4f0e5ee0a9d5a8d19a7df72634780b5628847e2c9a584a
82,Result_Ranking,Result_Ranking/082_crown_tab_blue.png,input_082.png,2172x724,1390x478,True,0,255,04c9e9d682561afb7a79c034b1080402cea723e5866746eb7b3217fe3c815ad2
83,HUD,HUD/083_reward_coin_box_blank.png,input_083.png,1536x1024,1211x455,True,0,255,8e647919f117671e2e6e22f9aeb5cbcc01033010f32d1c9520fb6dc0c6b0647a
84,Result_Ranking,Result_Ranking/084_success_stamp_green.png,input_084.png,1254x1254,853x849,True,0,255,794fc1a123f36f195a67de5ccb473c339d187f65a727285b0d9001676df24c40
85,HUD,HUD/085_secret_mission_tag_mint.png,input_085.png,1774x887,1323x460,True,0,255,5bc3da2cadfab5c26a18ca5179b60bd1716874784d9b30e12713772110d44ebf
86,Buttons,Buttons/086_retry_button_blue_blank.png,input_086.png,2172x724,1861x523,True,0,255,c3629a99d3ebe45a944c718b582019f797a6d1f8f06e803311cc0220c66dfa1d
87,Buttons,Buttons/087_lobby_button_yellow_blank.png,input_087.png,2172x724,1882x532,True,0,255,96a157d9b065b53daea112fbf2d40003687f241ca5260b5a3ba85f0f43f4b1c8
88,Buttons,Buttons/088_exit_button_mint_blank.png,input_088.png,2172x724,1812x533,True,0,255,7f85de4d8b60ce50f0234c5d16b22b899c7666ee7a18d029aba6ea5f51c0880e
89,Lobby_CharacterSelect,Lobby_CharacterSelect/089_character_select_panel.png,input_089.png,1086x1448,911x1280,True,0,255,96d283d26f7f2a8aa4b0d481f12ffee681e26348461b356bcc4cfa5a932520d5
90,Result_Ranking,Result_Ranking/090_ranking_row_gold.png,input_090.png,1983x793,1794x364,True,0,255,52c443c453dcfc2fb3a56fbf55d841a2f9483c0e618f07080650ba033b561613
91,Result_Ranking,Result_Ranking/091_ranking_list_board.png,input_091.png,1448x1086,1146x935,True,0,255,3043d3369e0879ad992343f1061175bb9cc0f1795fe1a37d5160cee5554c0ca6
92,Result_Ranking,Result_Ranking/092_ranking_row_gold_paw.png,input_092.png,2508x627,2318x432,True,0,255,609818efd4ad2e4bc389e28f01bc16aec17f900417d2bbbe467899336e88e830
93,Result_Ranking,Result_Ranking/093_ranking_row_silver_paw.png,input_093.png,2508x627,2211x455,True,0,255,ea87200637bb2ff99aa7f9bb92cdf43d87ea44dd2407d602b0cb347acff5f69d
94,Result_Ranking,Result_Ranking/094_ranking_row_bronze_paw.png,input_094.png,2508x627,2359x448,True,0,255,f37a3256a115726be1a5fe7f6f64c54439b23389b132fd847e51160880b62302
95,Result_Ranking,Result_Ranking/095_ranking_row_blue.png,input_095.png,2508x627,2382x422,True,0,255,6162591217df4e486cc8235f9a68982d7d3705b58d1ef67811dc7e9e9139330f
96,Result_Ranking,Result_Ranking/096_medal_ribbon_gold.png,input_096.png,1254x1254,763x1040,True,0,255,39f3b519925a1b0069fb6ef0058fb4855e0f90bef49a7307bbfe9c4a74e5b075
97,Result_Ranking,Result_Ranking/097_player_thumbnail_frame.png,input_097.png,1254x1254,894x947,True,0,255,0b7af036cb1144ee4ebf02b0f56d20aabf1f835edd6c76480a387d047d31cdf9
98,Result_Ranking,Result_Ranking/098_ranking_row_blue_profile.png,input_098.png,1774x887,1549x456,True,0,255,1174deadc86708d3fd1eeda8f539684c211bba3c5cb0186e9b6d543e43857878
