path,category,old_texture_type,new_texture_type,old_max_size,new_max_size,old_compression,new_compression,action,note
Assets/ProjectONE/UI/Sprites/Lobby_CharacterSelect/113_lobby_message_tag_long.png,Lobby_CharacterSelect,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Lobby_CharacterSelect/114_lobby_notice_panel_blank.png,Lobby_CharacterSelect,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Logo_Title/031_title_strip_paperclip_star.png,Logo_Title,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Logo_Title/051_title_strip_blank.png,Logo_Title,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Logo_Title/052_main_logo_title_panel_blank.png,Logo_Title,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/MainMenu/009_player_profile_card_blue.png,MainMenu,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/MainMenu/012_left_menu_panel_blank.png,MainMenu,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/MainMenu/014_player_profile_card_alt.png,MainMenu,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/MainMenu/036_player_profile_card_hamster.png,MainMenu,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/MainMenu/065_todo_list_note.png,MainMenu,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Panels/026_note_card_large_blank.png,Panels,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
